id,odds,win_loss_amount,bet_with,bet_amount,bet_against,bet_date,game,win_loss_code,tournament
pK3pYBYN9tGCiUAoh8vP,2.82,-25.0,Liberty,25.0,Fluxo,2024-07-21,lol,LOSS,cblol
pwDtc0g0lZnRa8aw9VKH,2.81,70.25,Red Canids,25.0,paiN,2024-07-21,lol,WIN,cblol
pzxMLVJc7G8PY1gBp8VD,2.44,-85.0,Karmine Corp,85.0,BDS,2024-07-25,lol,LOSS,lec
qfdozvT0SG5epvf2zn3d,2.04,173.37,HomeBois,85.0,Twisted Minds,2024-07-05,mlbb,WIN,msc
rKJx9Mwcab94VteBbhct,1.18,590.0,SRG,500.0,Rebellion,2024-07-30,mlbb,WIN,snapdragon_pro_series
rOafklhckYA1vaVB3P82,2.89,-25.0,Cuyes,25.0,Shopify Rebellion,2024-07-28,dota2,LOSS,elite_league
ra9zs2EonppkH0MQWC7B,3.74,-200.0,Omega,200.0,SRG,2024-07-28,mlbb,LOSS,snapdragon_pro_series
rd1FCwGD82IwzDDZbD6e,2.27,-85.0,Royal Never Give Up,85.0,Invictus,2024-07-25,lol,LOSS,lpl
rwSCqfzPCQtlQY2DphtN,4.37,-25.0,Outplayed,25.0,NOVO,2024-07-15,valorant,LOSS,challengers_italy
s42g0shb47QFZPFxWZEV,2.27,-25.0,Acend,25.0,GoNext,2024-07-25,valorant,LOSS,challengers_east
sKHKutebfVfPMURCGADK,2.03,172.55,Falcons AP.Bren,85.0,Liquid Echo,2024-07-12,mlbb,WIN,msc
sic3wGFlWvdR4uiKNXbk,1.42,120.7,Omega,85.0,See You Soon,2024-07-30,mlbb,WIN,snapdragon_pro_series
ssnJU7dQlSi49F0PBsGN,2.77,-85.0,BOA,85.0,Qing Jiu,2024-07-21,hok,LOSS,king_growth_league
tlzAaYDS7Tgi6KS7iqGb,2.3,195.5,Draw,85.0,Evos&RRQAkira,2024-07-03,mlbb,WIN,msc
