,id,left_team_name,date,right_team_name,draw_odds,winner,game,left_odds,right_odds
75,OBq8GnWT1xIi3B3xwHzo,Israil Madrimov,Aug 4,Terence Crawford,,,boxing,5.82,1.1
76,PMe8Isv8pXOXgXdki8Cr,Elhem Mekhaled,Jul 20,Chantelle Cameron,,,boxing,7.67,1.05
77,PkqMWvR3t1g5iW88PiIG,Avernus,Jul 10,Oasis,,Oasis,valorant,7.66,1.05
78,Q9e9ONKvLDzmpHxN8gxp,Infinity,Jul 9,Isurus,1.92,Draw,lol,5.95,2.33
79,QcvfYhIS7kiayhZwrLCR,Team WE,Jul 10,Royal Never Give Up,,Team WE,hok,1.42,2.61
80,QvR5hRsTcgXTf8Xyd5Dz,Andrei Mikhailovich,Jul 14,Janibek Alimkhanuly,,,boxing,10.49,1.01
81,R5ZiMqd1PqVHwU408kdD,Tundra,Jul 10,MOUZ,2.08,Tundra,dota2,2.18,6.77
82,RciGOoKFXOjoxKGgaVUg,G2,Jul 17,TheMongolZ,,,csgo,1.58,2.2
83,ReeH1iGoV6ybz9vLSJ6g,Imperial,Jul 18,T2M4SS,,,csgo,1.02,10.1
84,Rx9rwbAztgC9Ed3S8hxU,Thomas Petersen,Jul 20,Mohammed Usman,,,mma,2.23,1.58
85,S0TaQjzH33H5nzWtj0NO,Tracy Cortez,Jul 14,Rose Namajunas,,Rose Namajunas,mma,2.74,1.4
86,SILMUarqnPwODJitTdF4,Toronto Ultra,Jul 18,Los Angeles Thieves,,,cod,1.3,2.93
87,SQW2sFnHSlPhSLa4Bvd8,Partizan,Jul 9,Crvena zvezda,,Crvena zvezda,lol,1.39,2.69
88,SUMn4vN4HC9BETSTMMKa,Brad Pauls,Jul 20,Nathan Heaney,,,boxing,2.5,1.46
89,T6oCjbXIlg9UPVxy5HLx,Vivo Keyd Stars Academy,Jul 9,Flamengo Academy,,Vivo Keyd Stars Academy,lol,1.28,3.23
90,TxFdHgtc8k9fVv8lTGYM,Myth,Jul 9,mCon,,Myth,lol,2.03,1.67
91,U1KrGd3Q4qTUFqszv8up,Selangor Red Giants,Jul 10,Fire Flux,,Selangor Red Giants,mlbb,1.16,4.23
92,U7a7x7zj3WruXZDqSvBb,KJMR,Jul 9,AM,,KJMR,nba2k,3.0,1.33
93,UPHvFboUcgws2QfvwzSI,Nongshim RedForce,Jul 10,IAM,,Nongshim RedForce,valorant,1.26,3.42
94,UTMwwYLWQC8XQNaNt2PE,Tyrant,Jul 10,NAOS,,NAOS,valorant,9.1,1.02
95,Un86zNxdaXutM9WPYiEG,Nativz,Jul 9,BlueWhites,,BlueWhites,lol,1.34,2.91
96,UuEBKzApopwD6nosv1P5,YFP,Jul 10,TSM,,TSM,valorant,1.85,1.83
97,VVO5gLOxzN9Rg848zbmE,Recife,Jul 9,BESTIA,,Recife,csgo,3.78,1.22
98,X8NAfEFkkzvbERugz5Eb,Blinn,Jul 11,Dough Bros,,Blinn,valorant,1.2,3.89
99,XHbtw5P8mkQhIYErH1fs,VARREL,Jul 10,FENNEL,,FENNEL,valorant,3.24,1.29
100,XQ25w36F4bS2tMUd2r08,LOUD Academy,Jul 9,LOS Academy,,LOUD Academy,lol,1.54,2.26
101,Xdfprz3jVZyS9BVKcIvy,Akave Black,Jul 11,KS,,,valorant,1.17,4.31
102,Y05gJ0kpDstCUsxc5IAB,Legacy,Jul 9,Vikings KR,,Legacy,csgo,1.05,8.44
103,Y7z4KssfToAqHSRpEzrw,Trey Ogden,Jul 20,Loik Radzhabov,,,mma,2.16,1.61
104,YI8JUAOqARKDWBWaTCj7,David Avanesyan,Jul 14,Jaron Ennis,,Jaron Ennis,boxing,12.62,1.01
105,ZwnPpmD1gepMbmfqQTdb,Jose Valenzuela,Aug 4,Isaac Cruz,,,boxing,3.81,1.22
106,ZzWdmmHncgJqqqSrRM07,Natus Vincere,Jul 17,FURIA,,,csgo,1.27,3.34
107,ZzicGdD2dBYjwKO7VUT7,Dione Barbosa,Jul 20,Miranda Maverick,,,mma,2.56,1.45
108,aE1PpUxLbwxDOVGiJuL5,Muslim Salikhov,Jul 14,Santiago Ponzinibbio,,,mma,2.63,1.43
109,adUqJlx4DE3kYm18m09L,Seight,Jul 10,Purple Haze,,Purple Haze,csgo,2.34,1.52
110,axgC0rPFZm71CTLtxI4H,Aurora,Jul 10,LGD,1.97,,dota2,2.56,5.37
111,bYFOPxPJHEysGO95kzE6,Derek Chisora,Jul 27,Joe Joyce,,,boxing,3.88,1.21
112,bYaTE7O3pswgFgZUl5LC,FLUFFY AIMERS,Jul 9,Upper Deckie,,,r6,2.89,1.35
113,cfawCLHzFzo763Wtjk8n,Hero Base,Jul 9,Galorys,,Galorys,valorant,1.15,4.56
114,dVGC37pDgC8D4oNtG61R,Blacklist International,Jul 10,OG,1.9,,dota2,3.46,3.78
115,eVX9lIIU77DXCDL4gqXC,KuaiShow,Jul 10,TC Grouping,,,hok,1.16,4.39
116,ejvWulEEvfychjIqqbyN,OGC,Jul 9,UNiTY,,UNiTY,lol,4.03,1.18
117,ezgm7MQHT6RF5KYCrxhI,WBG.XG,Jul 10,Liquid,1.93,,dota2,2.86,4.61
118,fGDZ8v8oT5hAgygNGp6n,paiN Academy,Jul 10,KaBuM Academy,,KaBuM Academy,lol,1.18,4.05
119,fdax0omXpkyDdgEhwCIc,OpTic Texas,Jul 18,Los Angeles Guerrillas,,,cod,1.27,3.08
120,g7UiSmQJfKgkPDj5UBLV,FURIA Academy,Jul 10,Rise,,FURIA Academy,lol,1.71,1.97
121,gWcHMZZee4tRQJS2tbUB,T1,Jul 10,OKSavingsBank BRION,,T1,lol,1.01,14.33
122,hnpn9EsHY9q8xcZvFcJ6,OFFSYDE,Jul 14,Twisted Fairy,,,starcraft,2.0,1.71
123,hsj2CzSaDUD9Cz8n0KhI,Falcons,Jul 10,Gaimin Gladiators,1.95,Gaimin Gladiators,dota2,2.72,4.94
124,i3WiHE5x5WNDZquXNsH0,Ionut Baluta,Jul 27,Dennis McCann,,,boxing,3.09,1.32
125,i7pWYOAi5ypXgE4b3dhi,REMBAZA,Jul 10,Gameinside,,REMBAZA,csgo,1.71,1.99
126,iFuWL9Ffg0S8pf4BYI2T,Movistar R7,Jul 10,Estral,,Draw,lol,1.29,3.16
127,iLcqFVFaRYEQCLm39sT2,Entity,Jul 10,PSG Quest,1.98,Entity,dota2,2.51,5.54
128,jXhz28s2dNhYacQqOkZ7,WanZhen,Jul 14,Mad Dog,,,hok,2.77,1.38
129,jcwGMc0oX53L1wpt5O0D,FaZe,Jul 17,FlyQuest,,,csgo,1.11,5.51
130,jjvG5TxFOODwvn6Q6xto,Rogue Warriors,Jul 12,Team WE,,,hok,1.6,2.17
